0,1046954.25,Steve_Sleder,Ste_leder,12001137
1,1351208.00,Steve_Vishwanath,Ste_anath,218970968
2,192939.50,Steve_Hong,Ste__Hong,356546314
3,1956098.75,Steve_Zhuang,Ste_huang,883454075
4,1151382.00,Steve_Chandra,Ste_andra,279136841
5,687290.00,Sumanth_Sleder,Sum_leder,1372288908
6,1389779.00,Sumanth_Vishwanath,Sum_anath,1321900540
7,1237037.25,Sumanth_Hong,Sum__Hong,656371806
8,1590350.25,Sumanth_Zhuang,Sum_huang,496420816
9,1634397.00,Sumanth_Chandra,Sum_andra,158335197
10,1875758.00,Rankyung_Sleder,Ran_leder,10364905
11,19133.00,Rankyung_Vishwanath,Ran_anath,484935675
12,1079772.50,Rankyung_Hong,Ran__Hong,793182618
13,1110385.00,Rankyung_Zhuang,Ran_huang,595073892
14,761193.50,Rankyung_Chandra,Ran_andra,1526649932
15,260739.00,Zhou_Sleder,Zho_leder,1464284154
16,806984.50,Zhou_Vishwanath,Zho_anath,1559718886
17,936222.75,Zhou_Hong,Zho__Hong,546397896
18,1195305.50,Zhou_Zhuang,Zho_huang,1495894978
19,840365.25,Zhou_Chandra,Zho_andra,1156357800
20,1869334.00,Abishek_Sleder,Abi_leder,1192393157
21,895979.50,Abishek_Vishwanath,Abi_anath,1566036139
22,1097855.25,Abishek_Hong,Abi__Hong,217461852
23,732186.00,Abishek_Zhuang,Abi_huang,963633536
24,1769003.50,Abishek_Chandra,Abi_andra,614980918
