2,2,Steve_Hong,Ste__Hong,356546314,192939,0
492,2,Steve_Hong,Ste__Hong,356546314,0,0
2,2,Steve_Hong,Ste__Hong,356546314,-0.5,0
8,3,Steve_Zhuang,Ste_huang,883454075,0,0
98234,5,Sumanth_Sleder,Sum_leder,1372288908,0,0
2,5,Sumanth_Sleder,Sum_leder,1372288908,0.25,0
9,6.00,Sumanth_Vishwanath,Sum_anath,1321900540,-1389773.0,0
2,7,Sumanth_Hong,Sum__Hong,656371806,1.0,0
2,7,Sumanth_Hong,Sum__Hong,656371806,0.25,0
2,7,Sumanth_Hong,Sum__Hong,656371806,-1238036,0
2,8,Sumanth_Zhuang,Sum_huang,496420816,0.75,0
8,10,Rankyung_Sleder,Ran_leder,10364905,0,0
9,10.00,Rankyung_Sleder,Ran_leder,10364905,-1875748.0,0
2,12,Rankyung_Hong,Ran__Hong,793182618,-0.5,0
2,13,Rankyung_Zhuang,Ran_huang,595073892,1.0,0
2,14,Rankyung_Chandra,Ran_andra,1526649932,-0.5,0
2,16,Zhou_Vishwanath,Zho_anath,1559718886,0.75,0
2,16,Zhou_Vishwanath,Zho_anath,1559718886,0.25,0
2,17,Zhou_Hong,Zho__Hong,546397896,0.0,0
2,17,Zhou_Hong,Zho__Hong,546397896,-937224,0
2,18,Zhou_Zhuang,Zho_huang,1495894978,0.25,0
2,18,Zhou_Zhuang,Zho_huang,1495894978,-0.75,0
2,21,Abishek_Vishwanath,Abi_anath,1566036139,-1.0,0
2,21,Abishek_Vishwanath,Abi_anath,1566036139,0.25,0
2,22,Abishek_Hong,Abi__Hong,217461852,-1098854,0
2,23,Abishek_Zhuang,Abi_huang,963633536,732185,0
2,23,Abishek_Zhuang,Abi_huang,963633536,-0.25,0
2,24,Abishek_Chandra,Abi_andra,614980918,1769003,0
